Id,SalePrice
1461,108000
1462,155000
1463,193000
1464,145000
1465,249700
1466,152000
1467,176000
1468,130500
1469,202500
1470,126175
1471,189000
1472,145000
1473,83000
1474,194700
1475,175500
1476,159500
1477,182000
1478,236500
1479,239799
1480,202500
1481,395000
1482,189000
1483,173900
1484,402000
1485,170000
1486,255000
1487,219210
1488,325000
1489,208900
1490,131000
1491,189950
1492,154500
1493,194700
1494,270000
1495,190000
1496,325000
1497,230000
1498,225000
1499,162000
1500,112000
1501,187000
1502,162000
1503,202500
1504,181134
1505,189000
1506,145000
1507,193000
1508,149300
1509,119500
1510,132500
1511,134432
1512,146000
1513,110000
1514,144000
1515,109900
1516,156000
1517,153900
1518,145000
1519,187750
1520,118500
1521,158000
1522,133000
1523,145000
1524,110000
1525,134432
1526,145000
1527,156000
1528,108000
1529,119750
1530,158000
1531,155000
1532,129500
1533,153900
1534,139000
1535,119200
1536,107500
1537,115000
1538,163000
1539,176485
1540,90000
1541,104000
1542,150000
1543,325000
1544,123000
1545,134432
1546,124500
1547,183200
1548,140000
1549,115000
1550,120000
1551,76000
1552,82500
1553,154000
1554,133900
1555,134432
1556,134432
1557,134432
1558,109008
1559,83000
1560,124500
1561,200624
1562,138000
1563,138000
1564,176432
1565,158000
1566,231500
1567,79500
1568,134000
1569,100000
1570,156000
1571,143000
1572,150000
1573,270000
1574,163500
1575,170000
1576,197500
1577,154000
1578,128000
1579,156000
1580,191000
1581,163500
1582,130500
1583,160000
1584,189000
1585,168500
1586,84500
1587,156000
1588,200000
1589,179900
1590,150000
1591,137500
1592,150000
1593,139000
1594,108000
1595,145000
1596,201800
1597,136500
1598,262000
1599,275000
1600,189000
1601,100000
1602,145000
1603,166000
1604,204000
1605,201800
1606,112000
1607,100000
1608,221000
1609,154000
1610,115000
1611,180000
1612,157000
1613,130500
1614,187000
1615,129000
1616,125000
1617,250000
1618,145000
1619,140000
1620,157000
1621,142500
1622,108000
1623,180000
1624,134000
1625,119000
1626,133000
1627,97000
1628,281213
1629,205000
1630,230000
1631,255900
1632,285000
1633,175000
1634,173000
1635,181000
1636,170000
1637,197500
1638,194500
1639,176432
1640,202500
1641,181000
1642,185000
1643,214000
1644,189000
1645,207500
1646,148000
1647,190000
1648,133000
1649,153337
1650,108000
1651,110000
1652,158900
1653,134432
1654,155000
1655,190000
1656,146000
1657,176432
1658,129000
1659,219500
1660,149300
1661,245500
1662,242000
1663,202500
